"Author","Title","Year","Journal","Location","Taxonomic_group_class","Taxonomic_order","Taxonomic_group_species","Primates","Mammals_Aves_Other","Measure_of_cognition","Measure_of_sociality","Cognitive_Ability_neuroanatomy_or_both","Cognitive_Ability_detailed","Sociality","Intra_inter_both","Captive_or_wild","Stats","Sample_size","Sample_size_species","Design","r","reverse","Sample_size_group1","Sample_size_group2","mean_grp1","dispersion_grp1","mean_grp2","dispersion_grp2","dispersion_type","ci_T","proportion_grp1","proportion_grp2","F","T","df","dferror","D","v","pearsonr_p","z","Source","Shared_control","Shared_treatment","paperid","studyid","esid","data_source","data_page","source_ref","figure_name","yi","CI","CI_low","CI_high","sd1","sd2","study","weight","sample.size","se","var","ci.lo","ci.hi","fishers.z","ci.lo.z","ci.hi.z","measure","row_id","vi","r_regt","yi_zr","se_zr","vi_zr"
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Hypothalymus","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6895,0.147,NA,NA,"BOTH",NA,NA,"paper42","study43","es241","supplementary data",NA,NA,NA,-0.645317063637047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.76723206754696,0.156173761888606,0.024390243902439
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Midbrain tetctum","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4548,0.1386,NA,NA,"BOTH",NA,NA,"paper42","study43","es242","supplementary data",NA,NA,NA,-0.588239013376343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.674969045613974,0.156173761888606,0.024390243902439
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Midbrain tegmentum","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4244,0.1376,NA,NA,"BOTH",NA,NA,"paper42","study43","es243","supplementary data",NA,NA,NA,-0.580112697735229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.662632551913915,0.156173761888606,0.024390243902439
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Cerebrellum","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3774,0.1361,NA,NA,"BOTH",NA,NA,"paper42","study43","es244","supplementary data",NA,NA,NA,-0.567199732783836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.643384675590096,0.156173761888606,0.024390243902439
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Medulla Oblongata","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2091,0.1312,NA,NA,"BOTH",NA,NA,"paper42","study43","es245","supplementary data",NA,NA,NA,-0.517355942702392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.572722573594313,0.156173761888606,0.024390243902439
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Absolute Number Neurons","Sociality","Neuroanatomy","brain size absolute","Broadsociality","Inter","Mixed","D",33,11,"Inter_individual_level",NA,"no",24,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4774,0.1858,NA,NA,"BOTH",NA,NA,"paper42","study43","es247","supplementary data",NA,NA,NA,-0.594167140023601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.684082654835766,0.182574185835055,0.0333333333333333
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Absolute olfactory bulb neurons","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",33,11,"Inter_individual_level",NA,"no",24,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2661,0.1771,NA,NA,"BOTH",NA,NA,"paper42","study43","es248","supplementary data",NA,NA,NA,-0.53488120866028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.596957715161673,0.182574185835055,0.0333333333333333
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Absolute cortex neurons","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",33,11,"Inter_individual_level",NA,"no",24,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2751,0.2312,NA,NA,"BOTH",NA,NA,"paper42","study43","es249","supplementary data",NA,NA,NA,-0.751055264414478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.975371483513246,0.182574185835055,0.0333333333333333
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Absolute subcortical forebrain neurons","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",33,11,"Inter_individual_level",NA,"no",24,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.0248,0.2149,NA,NA,"BOTH",NA,NA,"paper42","study43","es250","supplementary data",NA,NA,NA,-0.711450323577725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.890114586353065,0.182574185835055,0.0333333333333333
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Absolute cerebellum neurons","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",33,11,"Inter_individual_level",NA,"no",24,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3068,0.1787,NA,NA,"BOTH",NA,NA,"paper42","study43","es251","supplementary data",NA,NA,NA,-0.546987697261124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.614072807210063,0.182574185835055,0.0333333333333333
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Absolute brain stem neurons","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",33,11,"Inter_individual_level",NA,"no",24,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8624,0.2053,NA,NA,"BOTH",NA,NA,"paper42","study43","es252","supplementary data",NA,NA,NA,-0.681483411375737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.831878554255171,0.182574185835055,0.0333333333333333
"Reddy et al","Social inhibitory control in five lemur species",2015,"Primates","North Carolina, USA","Mammalia","Primates","Multiple","Primates","Mammalia","Inhibitory Control","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Captive","D",52,5,"Inter_individual_level",NA,"yes",20,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.246,0.0818,NA,NA,"BOTH",NA,NA,"paper71","study73","es386","table","248","2",NA,0.122079992532271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12269194815826,0.142857142857143,0.0204081632653061
"Sandel et al","Evidence from four lemur species that ringtailed lemur social cognition converges with that of haplorhine primates",2011,"Animal Behaviour","North Carolina, USA","Mammalia","Primates","Multiple","Primates","Mammalia","Social Cognition (Food Contest)","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Captive","D",40,4,"Inter_individual_level",NA,"no",10,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3097,0.1548,NA,NA,"BOTH",NA,NA,"paper78","study80","es421","figure","928","3","paper78_study80_es421_3",0.547837524598041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615286258137451,0.164398987305357,0.027027027027027
"Sandel et al","Evidence from four lemur species that ringtailed lemur social cognition converges with that of haplorhine primates",2011,"Animal Behaviour","North Carolina, USA","Mammalia","Primates","Multiple","Primates","Mammalia","Social Cognition (Gaze-Following)","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Captive","D",49,4,"Inter_individual_level",NA,"no",17,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0757,0.0901,NA,NA,"BOTH",NA,NA,"paper78","study80","es422","figure","930","4","paper78_study80_es422_4",-0.0378229167158076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0378409683610366,0.147441956154897,0.0217391304347826
"Bond et al","Social complexity and transitive inference in corvids",2003,"Animal Behaviour","Nebraska, USA","Aves","Passeriformes","Multiple","Other","Aves","Transitive Inference","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Wild Caught Captives","f",10,2,"Inter_individual_level",NA,"no",5,5,NA,NA,NA,NA,NA,NA,NA,NA,8.79,NA,1,8,NA,NA,NA,NA,"BOTH",NA,NA,"paper96","study98","es550","text",NA,NA,NA,0.723550902341181,0.95,0.167772427007819,0.883372728890337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.915057605529032,0.377964473009227,0.142857142857143
"Bond et al","Social complexity and transitive inference in corvids",2003,"Animal Behaviour","Nebraska, USA","Aves","Passeriformes","Multiple","Other","Aves","Transitive Inference","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Wild Caught Captives","f",10,2,"Inter_individual_level",NA,"no",5,5,NA,NA,NA,NA,NA,NA,NA,NA,27.53,NA,1,8,NA,NA,NA,NA,"BOTH",NA,NA,"paper96","study98","es551","text",NA,NA,NA,0.88024892214137,0.95,0.576364186113143,0.947541209063592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37687210764793,0.377964473009227,0.142857142857143
"Bond et al","Serial Reversal Learning and the Evolution of Behavioral Flexibility in Three Species of North American Corvids (Gymnorhinus cyanocephalus, Nucifraga columbiana, Aphelocoma californica)",2007,"Journal of Comparative Psychology","Nebraska, USA","Aves","Passeriformes","Multiple","Other","Aves","Reversal Learning","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Wild Caught Captives","f",10,2,"Inter_individual_level",NA,"no",5,5,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,1,8,NA,NA,NA,NA,"SCOPUS",NA,NA,"paper98","study100","es556","text","376",NA,NA,0.725690856312046,0.95,0.172221368546249,0.884228761007326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.919563506843418,0.377964473009227,0.142857142857143
"Devaine et al","Reading wild minds: A computational assay of Theory of Mind sophistication across seven primate species",2017,"PLoS Computational Biology","Paris, France","Mammalia","Primates","Multiple","Primates","Mammalia","Theory of Mind","Group Size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","f",35,7,"Inter_individual_level",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,1,58,NA,NA,NA,NA,"WOS",NA,NA,"paper20","study21","es78","text","6",NA,NA,0.0717342149788216,0.95,-0.182936004974737,0.312776046076905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0718576395245483,0.176776695296637,0.03125
"Kamhi et al","Social complexity influences brain investment and neural operation costs in ants",2016,"Proceedings of the Royal Society B: Biological Sciences","Massachusetts, USA","Insecta","Hymenoptera","Multiple","Other","Other","Brain size","Social Complexity","Neuroanatomy","brain size absolute","Broadsociality","Inter","Wild","f",66,2,"Inter_individual_level",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.19,NA,1,65,NA,NA,NA,NA,"BOTH",NA,NA,"paper34","study35","es173","text","4",NA,NA,0.767529617102676,0.95,0.659075794212591,0.834227341094767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01428766129936,0.125988157669742,0.0158730158730159
"MacLean et al","Social complexity predicts transitive reasoning in prosimian primates",2008,"Animal Behaviour","North Carolina, USA","Mammalia","Primates","Multiple","Primates","Mammalia","Transitive Inference","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Captive","f",6,2,"Inter_individual_level",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,1,2,NA,NA,NA,NA,"WOS",NA,NA,"paper55","study56","es299","text","482",NA,NA,0.140028008402801,0.95,-0.78480555641288,0.834974383828045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140954144527073,0.577350269189626,0.333333333333333
"MacLean et al","Social complexity predicts transitive reasoning in prosimian primates",2008,"Animal Behaviour","North Carolina, USA","Mammalia","Primates","Multiple","Primates","Mammalia","Transitive Inference","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Captive","f",6,2,"Inter_individual_level",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.76,NA,1,2,NA,NA,NA,NA,"WOS",NA,NA,"paper55","study56","es300","text","482",NA,NA,0.960395881106955,0.95,0.107694647201062,0.989526815762854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95098429334189,0.577350269189626,0.333333333333333
"MacLean et al","Social complexity predicts transitive reasoning in prosimian primates",2008,"Animal Behaviour","North Carolina, USA","Mammalia","Primates","Multiple","Primates","Mammalia","Transitive Inference","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Captive","f",6,2,"Inter_individual_level",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,1,2,NA,NA,NA,NA,"WOS",NA,NA,"paper55","study56","es602","text","484",NA,NA,0.140028008402801,0.95,-0.78480555641288,0.834974383828045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140954144527073,0.577350269189626,0.333333333333333
"MacLean et al","Social complexity predicts transitive reasoning in prosimian primates",2008,"Animal Behaviour","North Carolina, USA","Mammalia","Primates","Multiple","Primates","Mammalia","Transitive Inference","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Captive","f",6,2,"Inter_individual_level",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,1,2,NA,NA,NA,NA,"WOS",NA,NA,"paper55","study56","es603","text","484",NA,NA,0.183892428122457,0.95,-0.775945019543645,0.842264934869627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186008391066645,0.577350269189626,0.333333333333333
"Amici et al","Fission-fusion dynamics, behavioral flexibility, and inhibitory control in primates",2008,"Current Biology","Liverpool, UK","Mammalia","Primates","Multiple","Primates","Mammalia","Inhibitory Control","Group Stability","Cognitive Ability","Cognitive Ability","Socialinteraction","Inter","Captive","mean",86,7,"Inter_individual_level",NA,"no",40,46,91.9136,6.2182,78.1065,8.4601,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper02","study02","es21","table","1416","1",NA,0.136934989489451,NA,NA,NA,39.327349892918,57.3791898902381,"",86.1860676716859,86,0.107716309867374,0.0116028034114442,-0.0731883397933475,0.335418050024988,0.137800647902342,-0.0733194399852685,0.348920735789952,"r",NA,NA,NA,0.137800647902342,0.10976425998969,0.0120481927710843
"Amici et al","Fission-fusion dynamics, behavioral flexibility, and inhibitory control in primates",2008,"Current Biology","Liverpool, UK","Mammalia","Primates","Multiple","Primates","Mammalia","Inhibitory Control","Group Stability","Cognitive Ability","Cognitive Ability","Socialinteraction","Inter","Captive","mean",86,7,"Inter_individual_level",NA,"no",40,46,76.0393,5.2369,97.6521,54.5497,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper02","study02","es22","table","1416","1",NA,-0.0396404959100775,NA,NA,NA,33.1210637570716,369.974065880488,"",86.9323780070632,86,0.10725294352772,0.0115031938953603,-0.244799451037728,0.168916012482712,-0.0396612787891707,-0.24987318533941,0.170550627761068,"r",NA,NA,NA,-0.0396612787891707,0.10976425998969,0.0120481927710843
"Amici et al","Fission-fusion dynamics, behavioral flexibility, and inhibitory control in primates",2008,"Current Biology","Liverpool, UK","Mammalia","Primates","Multiple","Primates","Mammalia","Inhibitory Control","Group Stability","Cognitive Ability","Cognitive Ability","Socialinteraction","Inter","Captive","mean",86,7,"Inter_individual_level",NA,"no",40,46,89.8919,5.3315,41.0644,27.418,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper02","study02","es23","table","1416","1",NA,0.173754307612569,NA,NA,NA,33.7193666903754,185.957923477329,"",85.6819089927679,86,0.108032750420514,0.0116710751634211,-0.0361892276334883,0.369009139369314,0.175535261385148,-0.0362050385898644,0.38727556136016,"r",NA,NA,NA,0.175535261385148,0.10976425998969,0.0120481927710843
"Amici et al","Fission-fusion dynamics, behavioral flexibility, and inhibitory control in primates",2008,"Current Biology","Liverpool, UK","Mammalia","Primates","Multiple","Primates","Mammalia","Inhibitory Control","Group Stability","Cognitive Ability","Cognitive Ability","Socialinteraction","Inter","Captive","mean",86,7,"Inter_individual_level",NA,"no",40,46,7.7332,6.1513,8.3,8.3,"se",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper02","study02","es24","table","1416","1",NA,-0.0057702518094106,NA,NA,NA,38.9042371419875,56.2933388599397,"",86.9985682565089,86,0.107212135672911,0.0114944420355468,-0.212608958799048,0.201563381779437,-0.00577031585241813,-0.215902240476946,0.20436160877211,"r",NA,NA,NA,-0.00577031585241813,0.10976425998969,0.0120481927710843
